Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
25084645,Fedra,Jean Racine,"Racine, Jean",,"=""9536786338""","=""""",0,3.69,Sysprint,Paperback,103,2000,1677,2017/01/01,2024/05/06,,,read,,,,1,0
2118517,Dundo Maroje,Marin Držić,"Držić, Marin",Milan Ratković,"=""9536041081""","=""""",0,3.05,SysPrint,Paperback,140,2003,1551,2017/02/01,2024/05/06,,,read,,,,1,0
13555753,Dubravka,Ivan Gundulić,"Gundulić, Ivan",,"=""""","=""""",0,2.49,"Nakladna knjižara ""Jadran"", Dubrovnik",Hardcover,66,1923,1837,2016/12/01,2024/05/06,,,read,,,,1,0
1525808,Don Quijote de la Mancha I,J.R. Cuenot,"Cuenot, J.R.",Miguel de Cervantes Saavedra,"=""8477110972""","=""9788477110972""",0,3.89,Edelsa,Paperback,141,2000,1605,2016/10/01,2024/05/06,,,read,,,,1,0
2165,The Old Man and the Sea,Ernest Hemingway,"Hemingway, Ernest",,"=""0684830493""","=""9780684830490""",0,3.80,Scribner,Hardcover,96,1996,1952,2015/05/01,2024/05/06,,,read,,,,1,0
9852174,Alkar,Dinko Šimunović,"Šimunović, Dinko",,"=""""","=""9789536310815""",0,2.86,Ex libris,Paperback,111,2007,2007,2015/04/01,2024/05/06,,,read,,,,1,0
48855,The Diary of a Young Girl,Anne Frank,"Frank, Anne","Susan Massotty, Γιάννης Θωμόπουλος, Barbara Mooyaart-Doubleday, Otto H. Frank, Mirjam Pressler, Eleanor Roosevelt","=""""","=""""",0,4.19,Bantam,Mass Market Paperback,283,1993,1947,2014/11/01,2024/05/06,,,read,,,,1,0
18135,Romeo and Juliet,William Shakespeare,"Shakespeare, William",,"=""""","=""""",0,3.74,Washington Square Press,Mass Market Paperback,281,2002,1597,2014/11/01,2024/05/06,,,read,,,,1,0
157993,The Little Prince,Antoine de Saint-Exupéry,"Saint-Exupéry, Antoine de",Richard Howard,"=""""","=""""",0,4.32,"Harcourt, Inc.",Paperback,96,2000,1943,2015/02/01,2024/05/06,,,read,,,,1,0
168696,In Desert and Wilderness,Henryk Sienkiewicz,"Sienkiewicz, Henryk","Nikolaj Omersa, Max A. Drezmal, France Vodnik","=""1589636147""","=""9781589636149""",0,3.34,Fredonia Books (NL),Paperback,460,2001,1911,2014/06/01,2024/05/06,,,read,,,,1,0
828015,"The Breadwinner (The Breadwinner, #1)",Deborah Ellis,"Ellis, Deborah",,"=""0888994168""","=""9780888994165""",0,4.00,Groundwood Books,Paperback,171,2001,2000,2014/03/01,2024/05/06,,,read,,,,1,0
1237398,"One Piece, Volume 1: Romance Dawn (One Piece, #1)",Eiichiro Oda,"Oda, Eiichiro",,"=""1569319014""","=""9781569319017""",5,4.48,VIZ Media LLC,Paperback,207,2003,1997,2020/03/01,2024/05/06,,,read,,,,1,0
13154150,"Attack on Titan, Vol. 1 (Attack on Titan, #1)",Hajime Isayama,"Isayama, Hajime",Sheldon Drzka,"=""1612620248""","=""9781612620244""",5,4.47,Kodansha Comics,Paperback,193,2012,2010,2023/03/01,2024/05/06,,,read,,,,1,0
55575967,"Chainsaw Man, Vol. 1: Dog and Chainsaw",Tatsuki Fujimoto,"Fujimoto, Tatsuki",,"=""1974723097""","=""""",5,4.39,VIZ Media: SHONEN JUMP,Kindle Edition,192,2020,2019,2022/11/01,2024/05/06,,,read,,,,1,0
33299465,You Asked for Perfect,Laura  Silverman,"Silverman, Laura",,"=""1492658278""","=""9781492658276""",4,3.80,Sourcebooks Fire,Paperback,267,2019,2019,2019/04/27,2019/04/25,,,read,,,,1,0
30038855,"Letters to the Lost (Letters to the Lost, #1)",Brigid Kemmerer,"Kemmerer, Brigid",,"=""1681190087""","=""9781681190082""",5,4.32,Bloomsbury USA Childrens,Hardcover,391,2017,2017,2018/10/09,2019/04/25,,,read,,,,1,0
42646314,"The Stand-In Boyfriend (Grove Valley High, #1)",Emma Doherty,"Doherty, Emma",,"=""""","=""""",4,3.98,,,,2019,2019,2016/03/31,2019/05/02,,,read,,,,1,0
28791088,Adorkable,Cookie O'Gorman,"O'Gorman, Cookie",,"=""""","=""""",5,3.92,,ebook,283,2016,2016,2019/06/14,2019/05/02,,,read,,,,1,0
11071466,Second Chance Summer,Morgan Matson,"Matson, Morgan",,"=""1416990674""","=""9781416990673""",4,4.12,Simon & Schuster Children's Publishing,Hardcover,468,2012,2012,2019/06/03,2019/05/02,,,read,,,,1,0
9266776,Epic Fail,Claire LaZebnik,"LaZebnik, Claire",,"=""0061921262""","=""9780061921261""",4,3.72,HarperTeen,Paperback,295,2011,2011,2017/10/19,2019/05/02,,,read,,,,1,0
18129111,"Effortless With You (Effortless With You, #1)",Lizzy Charles,"Charles, Lizzy",,"=""""","=""""",5,3.93,Swoon Romance,ebook,249,2013,2013,2019/06/13,2019/06/13,,,read,,,,1,0
18635016,"The One (The Selection, #3)",Kiera Cass,"Cass, Kiera",,"=""0062059998""","=""9780062059994""",4,4.15,HarperTeen,Hardcover,323,2014,2014,2018/01/01,2019/06/13,,,read,,,,1,0
15283043,"The Distance Between Us (Old Town Shops, #1)",Kasie West,"West, Kasie",,"=""0062235656""","=""9780062235657""",5,3.91,HarperTeen,Paperback,312,2013,2013,2017/10/01,2019/06/13,,,read,,,,1,0
16248068,"The Elite (The Selection, #2)",Kiera Cass,"Cass, Kiera",,"=""0062059963""","=""9780062059963""",4,3.95,HarperTeen,Hardcover,336,2013,2013,2018/01/01,2019/06/13,,,read,,,,1,0
5664985,Along for the Ride,Sarah Dessen,"Dessen, Sarah",,"=""0670011940""","=""9780670011940""",5,4.04,Viking Books for Young Readers,Hardcover,383,2009,2009,2015/04/01,2019/06/13,,,read,,,,1,0
51738,Just Listen,Sarah Dessen,"Dessen, Sarah",,"=""0670061050""","=""9780670061051""",5,4.05,Viking Books,Hardcover,371,2006,2006,2019/08/05,2019/06/13,,,read,,,,1,0
43837738,"Your Sound (Sherbrooke Station, #3)",Katia Rose,"Rose, Katia",,"=""""","=""""",5,4.06,,ebook,,,2018,2019/01/01,2019/06/14,,,read,,,,1,0
40848323,Fake It Till You Break It,Jenn P. Nguyen,"Nguyen, Jenn P.",,"=""1250308011""","=""9781250308016""",4,3.57,Swoon Reads,Hardcover,304,2019,2019,2019/06/24,2019/06/14,,,read,,,,1,0
35068742,"Love, Life, and the List (Love, Life, and the List, #1)",Kasie West,"West, Kasie",,"=""0062675788""","=""9780062675781""",4,3.80,HarperTeen,ebook,400,2017,2017,2016/09/01,2019/06/14,,,read,,,,1,0
30256248,By Your Side,Kasie West,"West, Kasie",,"=""0062455869""","=""9780062455864""",4,3.86,HarperTeen,Paperback,346,2017,2017,2017/06/01,2019/06/14,,,read,,,,1,0
25486998,P.S. I Like You,Kasie West,"West, Kasie",,"=""0545850975""","=""9780545850971""",5,4.04,Point,Hardcover,329,2016,2016,2016/08/01,2019/06/14,,,read,,,,1,0
13628209,"The Boy Who Sneaks in My Bedroom Window (The Boy Who Sneaks in My Bedroom Window, #1)",Kirsty Moseley,"Moseley, Kirsty",,"=""""","=""""",4,3.85,Createspace,Paperback,256,2012,2012,2016/04/01,2019/06/14,,,read,,,,1,0
9961796,"Lola and the Boy Next Door (Anna and the French Kiss, #2)",Stephanie Perkins,"Perkins, Stephanie",,"=""""","=""""",4,3.90,Dutton Books,Hardcover,338,2011,2011,2017/11/01,2019/06/14,,,read,,,,1,0
6487308,"Fallen (Fallen, #1)",Lauren Kate,"Kate, Lauren",,"=""0385738935""","=""9780385738934""",4,3.72,Delacorte Press,Hardcover,464,2009,2009,2014/07/10,2019/06/14,,,read,,,,1,0
6148028,"Catching Fire (The Hunger Games, #2)",Suzanne Collins,"Collins, Suzanne",,"=""0439023491""","=""9780439023498""",5,4.33,Scholastic Press,Hardcover,391,2009,2009,2015/11/20,2019/06/14,,,read,,,,1,0
41016382,"Technically, You Started It",Lana Wood Johnson,"Johnson, Lana Wood",,"=""""","=""""",5,3.55,Scholastic Press,Hardcover,384,2019,2019,2019/05/20,2019/06/17,,,read,,,,1,0
13561164,"Dare You To (Pushing the Limits, #2)",Katie McGarry,"McGarry, Katie",,"=""0373210639""","=""9780373210633""",5,4.14,Harlequin Teen,Hardcover,456,2013,2013,2019/06/17,2019/06/17,,,read,,,,1,0
17233800,"Crash into You (Pushing the Limits, #3)",Katie McGarry,"McGarry, Katie",,"=""037321099X""","=""9780373210992""",5,4.26,Harlequin Teen,Hardcover,474,2013,2013,2019/06/23,2019/06/23,,,read,,,,1,0
24920901,"The Deal (Off-Campus, #1)",Elle Kennedy,"Kennedy, Elle",,"=""""","=""""",4,4.24,Elle Kennedy Inc.,Kindle Edition,342,2015,2015,2019/08/10,2019/07/03,,,read,,,,1,0
41032121,"The Risk (Briar U, #2)",Elle Kennedy,"Kennedy, Elle",,"=""""","=""""",4,4.24,Elle Kennedy Inc.,Kindle Edition,402,2019,2019,2019/07/23,2019/07/23,,,read,,,,1,0
34851664,"The Chase (Briar U, #1)",Elle Kennedy,"Kennedy, Elle",,"=""0994054459""","=""9780994054456""",4,3.87,Elle Kennedy Inc.,ebook,368,2018,2018,2019/07/23,2019/07/23,,,read,,,,1,0
28262024,"The Goal (Off-Campus, #4)",Elle Kennedy,"Kennedy, Elle",,"=""1533344345""","=""9781533344342""",4,3.92,CreateSpace Independent Publishing Platform,Paperback,350,2016,2016,2019/07/23,2019/07/23,,,read,,,,1,0
27252717,"The Score (Off-Campus, #3)",Elle Kennedy,"Kennedy, Elle",,"=""""","=""""",4,4.17,Elle Kennedy,Kindle Edition,361,2016,2016,2019/07/19,2019/07/23,,,read,,,,1,0
25564665,"The Mistake (Off-Campus, #2)",Elle Kennedy,"Kennedy, Elle",,"=""151166066X""","=""9781511660662""",4,4.01,CreateSpace Independent Publishing Platform,Paperback,296,2015,2015,2019/07/21,2019/07/23,,,read,,,,1,0
16134551,"Fallen Crest High (Fallen Crest High, #1)",Tijan,"Tijan, Tijan",,"=""""","=""""",4,4.08,,Kindle Edition,375,2012,2012,2019/09/22,2019/09/22,,,read,,,,1,0
35404657,Dear Aaron,Mariana Zapata,"Zapata, Mariana",,"=""""","=""""",5,3.91,,Kindle Edition,500,2017,2017,2019/09/15,2019/09/15,,,read,,,,1,0
12716010,"Rapture (Fallen, #4)",Lauren Kate,"Kate, Lauren",,"=""""","=""""",4,3.99,,Kindle Edition,466,2012,2012,2014/08/30,2020/04/28,,,read,,,,1,0
9369720,"Passion (Fallen, #3)",Lauren Kate,"Kate, Lauren",,"=""0385739168""","=""9780385739160""",4,3.86,Delacorte Press,Hardcover,420,2011,2011,2014/08/05,2020/04/28,,,read,,,,1,0
7740152,"Torment (Fallen, #2)",Lauren Kate,"Kate, Lauren",,"=""0385739141""","=""9780385739146""",4,3.85,Delacorte Press,Hardcover,452,2010,2010,2014/07/18,2020/04/28,,,read,,,,1,0
60714999,"The Serpent and the Wings of Night (Crowns of Nyaxia, #1)",Carissa Broadbent,"Broadbent, Carissa",,"=""""","=""""",4,4.33,Independently Published,Kindle Edition,504,2022,2022,2024/04/01,2024/03/21,,,read,,,,1,0
26032912,"The Queen of Nothing (The Folk of the Air, #3)",Holly Black,"Black, Holly",,"=""0316310409""","=""9780316310406""",4,4.36,"Little, Brown",ebook,300,2019,2019,2024/03/20,2024/03/21,,,read,,,,1,0
26032887,"The Wicked King (The Folk of the Air, #2)",Holly Black,"Black, Holly",,"=""0316310336""","=""9780316310338""",4,4.30,"Little, Brown Books for Young Readers",ebook,336,2019,2019,2024/03/16,2024/03/21,,,read,,,,1,0
26032825,"The Cruel Prince (The Folk of the Air, #1)",Holly Black,"Black, Holly",,"=""""","=""""",4,4.05,"Little, Brown Books for Young Readers",Hardcover,370,2018,2018,2024/03/14,2024/03/21,,,read,,,,1,0
13049981,"Boundless (Unearthly, #3)",Cynthia Hand,"Hand, Cynthia",,"=""0061996203""","=""9780061996207""",5,4.12,HarperTeen,Hardcover,448,2013,2013,2016/01/17,2024/03/21,,,read,,,,1,0
11563110,"Hallowed (Unearthly, #2)",Cynthia Hand,"Hand, Cynthia",,"=""0061996181""","=""9780061996184""",5,4.09,HarperTeen,Hardcover,403,2012,2012,2016/01/04,2024/03/21,,,read,,,,1,0
7488244,"Unearthly (Unearthly, #1)",Cynthia Hand,"Hand, Cynthia",,"=""0061996165""","=""9780061996160""",5,4.01,HarperTeen,Hardcover,435,2011,2011,2015/12/29,2024/03/21,,,read,,,,1,0
307791,"The City of Ember (Book of Ember, #1)",Jeanne DuPrau,"DuPrau, Jeanne",,"=""0375822747""","=""9780375822742""",5,3.89,Random House Children's Books,Paperback,270,2003,2003,2019/06/15,2024/03/21,,,read,,,,1,0
123979401,Remain Nameless,HeyJude19,"HeyJude19, HeyJude19",,"=""""","=""""",5,4.40,AO3,ebook,1000,2020,2020,2024/01/29,2024/04/02,,,read,,,,1,0
60039506,Manacled,SenLinYu,"SenLinYu, SenLinYu",,"=""""","=""""",3,4.65,Self-Published (Archive of Our Own),ebook,1458,2018,2018,2024/01/25,2024/04/02,,,read,,,,1,0
43307358,"Heartstopper: Volume Two (Heartstopper, #2)",Alice Oseman,"Oseman, Alice",,"=""1444951408""","=""9781444951400""",5,4.54,Hodder Children's Books,Paperback,320,2019,2019,2024/03/03,2024/04/02,,,read,,,,1,0
40495957,"Heartstopper: Volume One (Heartstopper, #1)",Alice Oseman,"Oseman, Alice",,"=""152722533X""","=""9781527225336""",5,4.47,Selfpublished,Paperback,288,2018,2018,2024/03/03,2024/04/02,,,read,,,,1,0
11250317,The Song of Achilles,Madeline Miller,"Miller, Madeline",,"=""1408816032""","=""9781408816035""",5,4.33,Bloomsbury Publishing,Hardcover,352,2011,2011,2024/01/15,2024/04/02,,,read,,,,1,0
7728,"Antigone (The Theban Plays, #3)",Sophocles,"Sophocles, Sophocles",,"=""1580493882""","=""9781580493888""",3,3.67,"Prestwick House, Inc.",Paperback,80,2005,-441,2015/11/01,2024/05/06,,,read,,,,1,0
26025704,the gods lie.,Kaori Ozaki,"Ozaki, Kaori",,"=""1942993366""","=""9781942993360""",5,4.03,Vertical Comics,Paperback,214,2016,2013,2024/05/02,2024/05/02,,,read,,,,1,0
50659467,"A Court of Thorns and Roses (A Court of Thorns and Roses, #1)",Sarah J. Maas,"Maas, Sarah J.",,"=""1635575567""","=""9781635575569""",4,4.20,Bloomsbury Publishing,Paperback,419,2020,2015,2024/04/25,2024/04/25,,,read,,,,1,0
50659468,"A Court of Mist and Fury (A Court of Thorns and Roses, #2)",Sarah J. Maas,"Maas, Sarah J.",,"=""1635575583""","=""9781635575583""",5,4.65,Bloomsbury Publishing,Paperback,626,2020,2016,2024/05/02,2024/05/02,,,read,,,,1,0
61132355,Ten out of Ten,morriganmercy,"morriganmercy, morriganmercy",,"=""""","=""""",5,4.08,morriganmercy - Ao3,ebook,,2022,,2024/01/28,2024/05/03,,,read,,,,1,0
12700353,Me and Earl and the Dying Girl,Jesse Andrews,"Andrews, Jesse",,"=""1419701762""","=""9781419701764""",5,3.51,FBAPowersetup,Hardcover,295,2012,2012,2016/05/18,2019/04/25,,,read,,,,1,0
16056408,"Easy (Contours of the Heart, #1)",Tammara Webber,"Webber, Tammara",,"=""0425266745""","=""9780425266748""",4,4.08,Penguin Berkley,Paperback,336,2012,2012,2018/02/21,2019/04/24,,,read,,,,1,0
12294652,My Life Next Door,Huntley Fitzpatrick,"Fitzpatrick, Huntley",,"=""0803736991""","=""9780803736993""",5,3.97,Dial Books For Young Readers,Hardcover,394,2012,2012,2016/08/16,2019/04/24,,,read,,,,1,0
15745753,Eleanor & Park,Rainbow Rowell,"Rowell, Rainbow",,"=""1250012570""","=""9781250012579""",4,3.94,St. Martin's Press,Hardcover,328,2013,2012,2018/08/15,2019/04/24,,,read,,,,1,0
6068551,"Shiver (The Wolves of Mercy Falls, #1)",Maggie Stiefvater,"Stiefvater, Maggie",,"=""0545123267""","=""9780545123266""",4,3.76,Scholastic Press,Hardcover,392,2009,2009,2017/04/14,2019/04/24,,,read,,,,1,0
6442769,Paper Towns,John Green,"Green, John",Gázsity Mila,"=""014241493X""","=""9780142414934""",4,3.71,Speak,Paperback,305,2009,2008,2016/05/15,2019/04/24,,,read,,,,1,0
35247769,"Always and Forever, Lara Jean (To All the Boys I've Loved Before, #3)",Jenny Han,"Han, Jenny",,"=""1481430483""","=""9781481430487""",5,4.01,Simon  Schuster Books for Young Readers,Hardcover,325,2017,2017,2018/09/30,2019/04/25,,,read,,,,1,0
20698530,"P.S. I Still Love You (To All the Boys I've Loved Before, #2)",Jenny Han,"Han, Jenny",,"=""144242673X""","=""9781442426733""",5,4.02,Simon & Schuster Books for Young Readers,Hardcover,337,2015,2015,2018/09/19,2019/04/25,,,read,,,,1,0
15749186,"To All the Boys I've Loved Before (To All the Boys I've Loved Before, #1)",Jenny Han,"Han, Jenny",,"=""""","=""""",4,4.04,Simon & Schuster Books for Young Readers,Paperback,355,2014,2014,2018/09/10,2019/04/24,,,read,,,,1,0
18460392,All the Bright Places,Jennifer Niven,"Niven, Jennifer",,"=""0385755880""","=""9780385755887""",5,4.13,Knopf,Hardcover,378,2015,2015,2017/08/28,2019/04/24,,,read,,,,1,0
39939417,Five Feet Apart,Rachael Lippincott,"Lippincott, Rachael","Mikki Daughtry, Tobias Iaconis","=""""","=""""",5,4.18,Simon & Schuster Books for Young Readers,ebook,288,2018,2018,2019/01/10,2019/04/24,,,read,,,,1,0
32075671,"The Hate U Give (The Hate U Give, #1)",Angie Thomas,"Thomas, Angie",,"=""""","=""""",5,4.47,Balzer + Bray,Hardcover,454,2017,2017,2018/05/14,2019/04/24,,,read,,,,1,0
10507293,"The Selection (The Selection, #1)",Kiera Cass,"Cass, Kiera",,"=""0062059939""","=""9780062059932""",5,4.08,HarperTeen,Hardcover,336,2012,2012,2018/08/09,2019/04/24,,,read,,,,1,0
11614718,"Delirium (Delirium, #1)",Lauren Oliver,"Oliver, Lauren",,"=""0061726834""","=""9780061726835""",5,3.95,HarperCollins,Paperback,441,2012,2011,2018/03/30,2019/04/24,,,read,,,,1,0
7735333,"Matched (Matched, #1)",Ally Condie,"Condie, Ally",,"=""0525423648""","=""9780525423645""",5,3.63,Dutton Books for Young Readers,Hardcover,369,2010,2010,2018/06/11,2019/04/24,,,read,,,,1,0
6936382,"Anna and the French Kiss (Anna and the French Kiss, #1)",Stephanie Perkins,"Perkins, Stephanie",,"=""0525423273""","=""9780525423270""",4,3.97,Dutton Juvenile,Hardcover,372,2010,2010,2017/02/07,2019/04/24,,,read,,,,1,0
6931356,"The DUFF: Designated Ugly Fat Friend (Hamilton High, #1)",Kody Keplinger,"Keplinger, Kody",,"=""0316084239""","=""9780316084239""",3,3.80,Little Brown/Poppy,Hardcover,280,2010,2010,2015/08/16,2019/04/24,,,read,,,,1,0
6482837,Before I Fall,Lauren Oliver,"Oliver, Lauren",,"=""0061726818""","=""9780061726811""",5,3.89,HarperCollins,Paperback,470,2010,2010,2017/04/18,2019/04/24,,,read,,,,1,0
6339664,"Hush, Hush (Hush, Hush, #1)",Becca Fitzpatrick,"Fitzpatrick, Becca",,"=""1416989412""","=""9781416989417""",5,3.93,Simon & Schuster,Hardcover,391,2009,2009,2016/11/21,2019/04/24,,,read,,,,1,0
4268157,"Perfect Chemistry (Perfect Chemistry, #1)",Simone Elkeles,"Elkeles, Simone",,"=""0802798233""","=""9780802798237""",4,4.04,Walker Childrens,Hardcover,368,2008,2008,2018/02/19,2019/04/24,,,read,,,,1,0
24770,"Uglies (Uglies, #1)",Scott Westerfeld,"Westerfeld, Scott",,"=""""","=""""",3,3.85,Simon Pulse,Paperback,425,2005,2005,2019/03/17,2019/04/24,,,read,,,,1,0
2767052,"The Hunger Games (The Hunger Games, #1)",Suzanne Collins,"Collins, Suzanne",,"=""0439023483""","=""9780439023481""",5,4.34,Scholastic Press,Hardcover,374,2008,2008,2015/11/01,2019/04/24,,,read,,,,1,0
7260188,"Mockingjay (The Hunger Games, #3)",Suzanne Collins,"Collins, Suzanne",,"=""0439023513""","=""9780439023511""",5,4.09,Scholastic Press,Hardcover,390,2010,2010,2015/12/05,2019/06/14,,,read,,,,1,0
11454587,"Spell Bound (Hex Hall, #3)",Rachel Hawkins,"Hawkins, Rachel",,"=""1423121325""","=""9781423121329""",5,4.06,Hyperion Book CH,Hardcover,327,2012,2012,2019/08/11,2019/08/11,,,read,,,,1,0
8428064,"Demonglass (Hex Hall, #2)",Rachel Hawkins,"Hawkins, Rachel",,"=""1423121317""","=""9781423121312""",5,4.08,Disney,Hardcover,359,2011,2011,2019/08/02,2019/08/11,,,read,,,,1,0
5287473,"Hex Hall (Hex Hall, #1)",Rachel Hawkins,"Hawkins, Rachel",,"=""1423121309""","=""9781423121305""",5,3.93,Hyperion Book CH,Hardcover,323,2010,2010,2019/07/30,2019/08/11,,,read,,,,1,0
61431922,"Fourth Wing (The Empyrean, #1)",Rebecca Yarros,"Yarros, Rebecca",,"=""1649374046""","=""9781649374042""",5,4.59,Entangled: Red Tower Books,Hardcover,498,2023,2023,2024/03/06,2024/03/10,,,read,,,,1,0
10644930,11/22/63,Stephen King,"King, Stephen",,"=""1451627289""","=""9781451627282""",5,4.33,Scribner,Hardcover,849,2011,2011,2024/01/10,2024/03/21,,,read,,,,1,0
11125,Digital Fortress,Dan       Brown,"Brown, Dan",,"=""""","=""""",5,3.69,Corgi books,Paperback,510,2004,1998,2024/02/15,2024/03/21,,,read,,,,1,0
19547856,"Simon vs. the Homo Sapiens Agenda (Simonverse, #1)",Becky Albertalli,"Albertalli, Becky",,"=""0062348671""","=""9780062348678""",5,4.16,Balzer + Bray,Hardcover,320,2015,2015,2019/01/24,2019/04/24,,,read,,,,1,0
90202302,"Iron Flame (The Empyrean, #2)",Rebecca Yarros,"Yarros, Rebecca",,"=""1649374178""","=""9781649374172""",5,4.35,Entangled: Red Tower Books,Hardcover,640,2023,2023,2024/03/11,2024/03/10,,,read,,,,1,0
10194514,"Pushing the Limits (Pushing the Limits, #1)",Katie McGarry,"McGarry, Katie",,"=""0373210493""","=""9780373210497""",4,4.05,Harlequin Teen,Hardcover,392,2012,2012,2019/04/24,2019/04/24,,,read,,,,1,0
68427,"Elantris (Elantris, #1)",Brandon Sanderson,"Sanderson, Brandon",,"=""0765350378""","=""9780765350374""",5,4.18,Tor Fantasy,Mass Market Paperback,638,2006,2005,2024/03/25,2024/03/25,,,read,,,,1,0
1237398,"One Piece, Volume 2",Eiichiro Oda,"Oda, Eiichiro",,"=""1569319014""","=""9781569319017""",5,4.48,VIZ Media LLC,Paperback,207,2003,1997,2020/03/01,2024/05/06,,,read,,,,1,0
13154150,"Attack on Titan, Vol. 2",Hajime Isayama,"Isayama, Hajime",Sheldon Drzka,"=""1612620248""","=""9781612620244""",5,4.47,Kodansha Comics,Paperback,193,2012,2010,2023/03/01,2024/05/06,,,read,,,,1,0
