Title,Author,MyRating,AverageRating,NumberOfPages,DateRead,Year,id,Genre,Link
The Song of Achilles,Madeline Miller,5,4.33,352.0,2024/01/15,2024,78,Romance,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1331154660i/11250317.jpg
"Antigone (The Theban Plays, #3)",Sophocles,3,3.67,80.0,2015/11/01,2015,79,History,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1486701308i/7728.jpg
the gods lie.,Kaori Ozaki,5,4.03,214.0,2024/05/02,2024,80, Manga,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1455504547i/26025704.jpg
"A Court of Thorns and Roses (A Court of Thorns and Roses, #1)",Sarah J. Maas,4,4.2,419.0,2024/04/25,2024,81,Fantasy,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1620324329i/50659467.jpg
"A Court of Mist and Fury (A Court of Thorns and Roses, #2)",Sarah J. Maas,5,4.65,626.0,2024/05/02,2024,82,Fantasy,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1620325671i/50659468.jpg
Ten out of Ten,morriganmercy,5,4.08,230.0,2024/01/28,2024,83,Fanfiction,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1653016760i/61132355.jpg
Me and Earl and the Dying Girl,Jesse Andrews,5,3.51,295.0,2016/05/18,2016,84,Drama,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1337216932i/12700353.jpg
"Easy (Contours of the Heart, #1)",Tammara Webber,4,4.08,336.0,2018/02/21,2018,85,Romance,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1349370267i/16056408.jpg
My Life Next Door,Huntley Fitzpatrick,5,3.97,394.0,2016/08/16,2016,86,Romance,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1394240144i/12294652.jpg
Eleanor & Park,Rainbow Rowell,4,3.94,328.0,2018/08/15,2018,87,Romance,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1341952742i/15745753.jpg
"Shiver (The Wolves of Mercy Falls, #1)",Maggie Stiefvater,4,3.76,392.0,2017/04/14,2017,88,Fantasy,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1409283154i/6068551.jpg
Paper Towns,John Green,4,3.71,305.0,2016/05/15,2016,89,Romance,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1349013610i/6442769.jpg
"Always and Forever, Lara Jean (To All the Boys I've Loved Before, #3)",Jenny Han,5,4.01,325.0,2018/09/30,2018,90,Romance,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1495992139i/35247769.jpg
"P.S. I Still Love You (To All the Boys I've Loved Before, #2)",Jenny Han,5,4.02,337.0,2018/09/19,2018,91,Romance,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1422881430i/20698530.jpg
"To All the Boys I've Loved Before (To All the Boys I've Loved Before, #1)",Jenny Han,4,4.04,355.0,2018/09/10,2018,92,Romance,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1372086100i/15749186.jpg
All the Bright Places,Jennifer Niven,5,4.13,378.0,2017/08/28,2017,93,Drama,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1404331702i/18460392.jpg
Five Feet Apart,Rachael Lippincott,5,4.18,288.0,2019/01/10,2019,94,Drama,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1529358577i/39939417.jpg
"The Hate U Give (The Hate U Give, #1)",Angie Thomas,5,4.47,454.0,2018/05/14,2018,95,Drama,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1476284759i/32075671.jpg
"The Selection (The Selection, #1)",Kiera Cass,5,4.08,336.0,2018/08/09,2018,96,Fantasy,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1322103400i/10507293.jpg
"Delirium (Delirium, #1)",Lauren Oliver,5,3.95,441.0,2018/03/30,2018,97,Fantasy,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1327890411i/11614718.jpg
"Matched (Matched, #1)",Ally Condie,5,3.63,369.0,2018/06/11,2018,98,Fantasy,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1367706191i/7735333.jpg
"Anna and the French Kiss (Anna and the French Kiss, #1)",Stephanie Perkins,4,3.97,372.0,2017/02/07,2017,99,Romance,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1358271931i/6936382.jpg
"The DUFF: Designated Ugly Fat Friend (Hamilton High, #1)",Kody Keplinger,3,3.8,280.0,2015/08/16,2015,100,Romance,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1271108843i/6931356.jpg
Before I Fall,Lauren Oliver,5,3.89,470.0,2017/04/18,2017,101,Drama,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1361044695i/6482837.jpg
"Hush, Hush (Hush, Hush, #1)",Becca Fitzpatrick,5,3.93,391.0,2016/11/21,2016,102,Fantasy,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1358261334i/6339664.jpg
"Perfect Chemistry (Perfect Chemistry, #1)",Simone Elkeles,4,4.04,368.0,2018/02/19,2018,103,Romance,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1439792475i/4268157.jpg
"Uglies (Uglies, #1)",Scott Westerfeld,3,3.85,425.0,2019/03/17,2019,104,Fantasy,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1654202671i/24770.jpg
"The Hunger Games (The Hunger Games, #1)",Suzanne Collins,5,4.34,374.0,2015/11/01,2015,105,Fantasy,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1586722975i/2767052.jpg
"Mockingjay (The Hunger Games, #3)",Suzanne Collins,5,4.09,390.0,2015/12/05,2015,106,Fantasy,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1586722918i/7260188.jpg
"Spell Bound (Hex Hall, #3)",Rachel Hawkins,5,4.06,327.0,2019/08/11,2019,107,Fantasy,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1313010167i/11454587.jpg
"Demonglass (Hex Hall, #2)",Rachel Hawkins,5,4.08,359.0,2019/08/02,2019,108,Fantasy,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1287692542i/8428064.jpg
"Hex Hall (Hex Hall, #1)",Rachel Hawkins,5,3.93,323.0,2019/07/30,2019,109,Fantasy,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1368393885i/5287473.jpg
"Fourth Wing (The Empyrean, #1)",Rebecca Yarros,5,4.59,498.0,2024/03/06,2024,110,Fantasy,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1701980900i/61431922.jpg
11/22/63,Stephen King,5,4.33,849.0,2024/01/10,2024,111,Fiction,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1327876792i/10644930.jpg
Digital Fortress,Dan Brown,5,3.69,510.0,2024/02/15,2024,112,Fantasy,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1360095966i/11125.jpg
"Simon vs. the Homo Sapiens Agenda (Simonverse, #1)",Becky Albertalli,5,4.16,320.0,2019/01/24,2019,113,Romance,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1402915678i/19547856.jpg
"Iron Flame (The Empyrean, #2)",Rebecca Yarros,5,4.35,640.0,2024/03/11,2024,114,Fantasy,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1706724269i/90202302.jpg
"Pushing the Limits (Pushing the Limits, #1)",Katie McGarry,4,4.05,392.0,2019/04/24,2019,115,Romance,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1322770025i/10194514.jpg
"Elantris (Elantris, #1)",Brandon Sanderson,5,4.18,638.0,2024/03/25,2024,116,Fantasy,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1475740953i/68427.jpg
"One Piece, Volume 1",Eiichiro Oda,5,4.48,207.0,2020/03/01,2020,117, Manga,https://upload.wikimedia.org/wikipedia/en/a/a3/One_Piece%2C_Volume_1.jpg
"One Piece, Volume 2",Eiichiro Oda,5,4.48,207.0,2020/03/01,2020,118, Manga,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1388531494i/364956.jpg
"One Piece, Volume 3", Eiichiro Oda,5,4.48,207.0, 2020/03/01,2020,119, Manga,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1388531492i/364957.jpg
